Date,NW 58th St Greenway st 22nd Ave NW Total,East,West
04/26/2014 05:00:00 AM,4,4,0
04/26/2014 06:00:00 AM,5,5,0
04/26/2014 07:00:00 AM,2,0,2
04/26/2014 08:00:00 AM,19,15,4
04/26/2014 09:00:00 AM,31,23,8
04/26/2014 10:00:00 AM,43,25,18
04/26/2014 11:00:00 AM,63,34,29
04/26/2014 12:00:00 PM,52,24,28
04/26/2014 01:00:00 PM,43,31,12
04/26/2014 02:00:00 PM,69,37,32
04/26/2014 03:00:00 PM,38,16,22
04/26/2014 04:00:00 PM,54,30,24
04/26/2014 05:00:00 PM,72,53,19
04/26/2014 06:00:00 PM,45,27,18
04/26/2014 07:00:00 PM,32,18,14
04/26/2014 08:00:00 PM,24,18,6
04/26/2014 09:00:00 PM,27,24,3
04/26/2014 10:00:00 PM,10,10,0
04/26/2014 11:00:00 PM,7,4,3
04/27/2014 12:00:00 AM,3,2,1
04/27/2014 01:00:00 AM,5,4,1
